Headline,Outlet,Rating,Link
What the Post-Insurrection Congressional Outbreak Tells Us About COVID-19 Vaccination,Slate,Left,https://www.allsides.com/news/2021-01-22-0721/what-post-insurrection-congressional-outbreak-tells-us-about-covid-19
Biden Unveils National Strategy That Trump Resisted,New York Times (News),Lean Left,https://www.allsides.com/news/2021-01-21-1925/biden-unveils-national-strategy-trump-resisted
Thousands of COVID Vaccine Appointments Are Being Canceled Because of Supply Problems,Vice, Left,https://www.allsides.com/news/2021-01-21-1317/thousands-covid-vaccine-appointments-are-being-canceled-because-supply-problems
"Biden’s new national plan to fight Covid-19, explained",Vox,Left,https://www.allsides.com/news/2021-01-21-0739/biden-s-new-national-plan-fight-covid-19-explained
"On Day One, Biden targets Trump policies on climate, virus",AP Politics & Fact Check,Lean Left,https://www.allsides.com/news/2021-01-20-1801/day-one-biden-targets-trump-policies-climate-virus
Biden says nothing can change the trajectory of the Covid pandemic over the next several months,CNBC,Center,https://www.allsides.com/news/2021-01-22-1459/biden-says-nothing-can-change-trajectory-covid-pandemic-over-next-several
Coronavirus: UK variant 'may be more deadly',BBC News,Center,https://www.allsides.com/news/2021-01-22-1230/coronavirus-uk-variant-may-be-more-deadly
"Biden unveils coronavirus plan, warns it will take months to 'turn things around'",The Hill,Center,https://www.allsides.com/news/2021-01-21-1919/biden-unveils-coronavirus-plan-warns-it-will-take-months-turn-things-around
"Biden Unveils Coronavirus Plan, Warns It Will Take Time To See Improvement",AllSides Headline Roundup,Center,https://www.allsides.com/story/biden-unveils-coronavirus-plan-warns-it-will-take-time
Amazon Offers Vaccine Distribution Aid to Biden Administration,AllSides Headline Roundup,Center,https://www.allsides.com/story/amazon-offers-vaccine-distribution-aid-letter-biden
Fauci: Trump’s Lack Of Candor ‘Very Likely’ Cost Lives,The Daily Wire,Right,https://www.allsides.com/news/2021-01-22-1253/fauci-trump-s-lack-candor-very-likely-cost-lives
"Florida Limits COVID-19 Vaccine to Permanent, Seasonal Residents",Newsmax (News),Lean Right,https://www.allsides.com/news/2021-01-22-1242/florida-limits-covid-19-vaccine-permanent-seasonal-residents
Dr. Anthony Fauci says he's finally free to speak the truth of public health and COVID-19 under the Biden administration,TheBlaze.com, Right,https://www.allsides.com/news/2021-01-22-0657/dr-anthony-fauci-says-hes-finally-free-speak-truth-public-health-and-covid-19
Kevin McCarthy slams Biden for ‘virtue signal’ executive orders and ‘appeasing’ WHO,New York Post (News), Lean Right,https://www.allsides.com/news/2021-01-21-2034/kevin-mccarthy-slams-biden-virtue-signal-executive-orders-and-appeasing-who
"Biden signs 'wartime' COVID-19 executive orders, imposing national mask mandate on public transportation",TheBlaze.com, Right,https://www.allsides.com/news/2021-01-21-1924/biden-signs-wartime-covid-19-executive-orders-imposing-national-mask-mandate
