Headline,Outlet,Rating,Link
Facebook passes final decision to ban Trump to oversight board,ABC News (Online), Lean Left,https://www.allsides.com/news/2021-01-21-1307/facebook-passes-final-decision-ban-trump-oversight-board
Big Tech Critics Alarmed At Direction of Biden Antitrust Personnel,The Intercept, Left,https://www.allsides.com/news/2021-01-20-1426/big-tech-critics-alarmed-direction-biden-antitrust-personnel
Violence at Capitol and beyond reignites a debate over America's long-held defense of extremist speech,CNN (Online News), Left,https://www.allsides.com/news/2021-01-19-0705/violence-capitol-and-beyond-reignites-debate-over-americas-long-held-defense
How Trump’s fights with tech transformed Republicans’ beliefs on free speech,Politico,Lean Left,https://www.allsides.com/news/2021-01-18-1816/how-trump-s-fights-tech-transformed-republicans-beliefs-free-speech
"Twitter Temporarily Suspends QAnon Rep. For Election Disinformation, Inciting Violence",HuffPost, Left,https://www.allsides.com/news/2021-01-18-0928/twitter-temporarily-suspends-qanon-rep-election-disinformation-inciting
Why Twitter’s “censorship” is not the same as China’s,Quartz,Center,https://www.allsides.com/news/2021-01-21-1316/why-twitter-s-censorship-not-same-china-s
Judge Refuses To Reinstate Parler After Amazon Shut It Down,NPR (Online News),Center,https://www.allsides.com/news/2021-01-21-1256/judge-refuses-reinstate-parler-after-amazon-shut-it-down
"Ocasio-Cortez: Facebook, Zuckerberg 'bear partial responsibility' for insurrection",The Hill,Center,https://www.allsides.com/news/2021-01-16-1406/ocasio-cortez-facebook-zuckerberg-bear-partial-responsibility-insurrection
Does banning Trump really make social media safer?,Yahoo! The 360,Center,https://www.allsides.com/news/2021-01-14-0502/does-banning-trump-really-make-social-media-safer
Jared Kushner and Dan Scavino reportedly teamed up to keep Trump off fringe social media sites,The Week - News,Center,https://www.allsides.com/news/2021-01-13-1534/jared-kushner-and-dan-scavino-reportedly-teamed-keep-trump-fringe-social-media
Why Purging Social Media of Extremist Speech Might Not Make Us Safer,Reason,Lean Right,https://www.allsides.com/news/2021-01-18-1851/why-purging-social-media-extremist-speech-might-not-make-us-safer
Josh Hawley’s Book On Big Tech Picked Up By Conservative Publisher After Cancellation,The Daily Wire,Right,https://www.allsides.com/news/2021-01-18-1227/josh-hawley-s-book-big-tech-picked-conservative-publisher-after-cancellation
Cancel culture has no place whatsoever in business,Fox News (Online News), Lean Right,https://www.allsides.com/news/2021-01-17-1442/cancel-culture-has-no-place-whatsoever-business
"Conservative Leaders: Tech Companies Pose Existential Threat, Must Be Broken Up",NewsBusters, Right,https://www.allsides.com/news/2021-01-15-1022/conservative-leaders-tech-companies-pose-existential-threat-must-be-broken
AOC and other progressives have a new goal: Silence the press,New York Post (News), Lean Right,https://www.allsides.com/news/2021-01-14-1943/aoc-and-other-progressives-have-new-goal-silence-press
